,index,0,1,2,p_val_kruskal,f_val_kruskal,p_val_anova,f_val_anova
0,mean_unexpcost,2.2580645161290325,2.0,2.0,9.114455570961403e-05,18.606127575072144,0.002651526444243634,5.994253394435196
1,mean_return,1.0,1.0,1.0709597940291498,1.924106035495594e-06,26.322098190470847,0.35061511672971807,1.0499788493420523
2,mean_stdcost,2.4881889763779528,2.5084745762711864,3.1534443190020545,2.9365912758697473e-13,57.7127134604144,3.90372123445464e-13,30.039621497616864
3,mean_pocost,2.6153846153846154,2.7142857142857144,3.1871547730896834,1.1161107438760893e-11,50.43717186206952,8.37707132258805e-12,26.67109371806026
4,mean_qty,2.3703703703703702,2.0,2.226639344262295,0.03248854132506541,6.853735652857719,0.0444632285221447,3.130008271862207
5,mean_return_qty,1.0,1.0,1.0,4.4892979083035454e-05,20.02245828660784,0.9833646320256535,0.016775779063086926
6,mean_costsave,3.0,3.0,3.0,0.4006588461068051,1.8292899432275929,0.4287185287695978,0.8482034457640796
7,mean_spend,1.1666666666666667,1.0789473684210529,1.986857707509881,7.108260362063782e-33,148.0481010594827,4.988803929413498e-26,64.5828069509329
8,mean_return_spend,1.0,1.0,1.0,5.4392359896072225e-15,65.69027557398559,0.014598492188990465,4.258061430927477
9,mean_leadtime,2.0,2.0,2.0,0.0007794808713578849,14.31376481879645,0.05634912282386636,2.890623590046659
10,mean_abc,1.1538461538461535,1.0,4.043557168784028,1.1689621827071373e-76,349.68070147140605,5.107033093588714e-169,819.1256711012318
11,mean_source,2.014925373134328,5.0,4.850429896785376,2.901160799738786e-78,357.0730526417202,1.7168548241354804e-152,681.9312976139366
12,mean_late,1.0,1.0,1.0,0.005320023911313121,10.47255496206191,0.3461152950183548,1.0629434614503979
13,mean_early,5.0,5.0,4.912293956043956,0.1299881747987048,4.080623591501666,0.183757886259691,1.6991375161715667
14,quality_risk_mean,1.0416666666666667,1.0416666666666667,1.0416666666666667,0.6931492836302224,0.7330197729944153,0.7761264203187402,0.2535515995302831
15,delivery_risk_mean,1.8461538461538465,1.6956521739130437,1.8130434782608695,0.12449301864291447,4.1670112796139165,0.03357137984348409,3.414194851821212
