mean_unexpcost,median_unexpcost,mean_stdcost,median_stdcost,mean_pocost,median_pocost,mean_qty,median_qty,mean_costsave,median_costsave,mean_spend,median_spend,mean_return_spend,median_return_spend,mean_leadtime,median_leadtime,mean_abc,median_abc,mean_source,median_source,Category,mean_late,median_late,mean_early,median_early,%Critical,SupplierID,quality_risk_mean,quality_risk_median,delivery_risk_mean,delivery_risk_median,comp1,comp2,comp3,comp4,comp5,comp6,RiskSum
2.0,2.0,2.0,2.0,2.0,2.0,1.42857142857,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,Elect Comp,1.0,1,2.0,2.0,1,83,1.0,1.0,1.0,1.0,1.3338826345787589,1.6821616062704376,1.3504874882099764,1.0587058743898916,-1.9094567020943516,0.9617039624191873,10.0
1.0,1.0,2.0,2.0,2.0,2.0,1.8,2.0,1.6,2.0,1.2,1.0,1.1,1.0,2.0,2.0,1.0,1.0,2.0,2.0,Fabrication,1.25,1,1.75,2.0,1,83,1.0,1.0,1.0,1.0,1.4422505563871808,0.7161931970530511,1.0758476646569146,1.1578488418646202,-1.6288306006829132,0.9530665831989734,9.3
1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,Cable/Conn/Wire,1.0,1,2.0,2.0,2,473,1.0,1.0,1.0,1.0,2.334737807626407,0.9290244056102417,0.7084548682291478,0.9261462971562398,-1.9008587025719528,0.928454053907572,10.0
1.12105263158,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.97894736842,2.0,1.82631578947,2.0,1.02105263158,1.0,1.01578947368,1.0,1.71052631579,2.0,1.9210526315799998,2.0,Fabrication,1.03773584906,1,1.9433962264200002,2.0,2,630,1.0,1.0,1.39130434783,1.0,2.611563954215888,0.7989374393070611,1.3701551307554865,1.480944289027348,-1.7845869193330741,0.8859064984358648,11.34085747594
1.6666666666699999,2.0,1.11111111111,1.0,1.11111111111,1.0,1.85185185185,2.0,1.37037037037,1.0,1.8148148148099998,2.0,1.0,1.0,1.0,1.0,1.85185185185,2.0,1.14814814815,1.0,Cable/Conn/Wire,1.0,1,2.0,2.0,1,920,1.0,1.0,1.08333333333,1.0,1.5980059283633365,1.0924840316860371,1.8779130673473048,1.345472688848941,-1.8535131376674943,0.9355840108885606,10.56481481481
1.89473684211,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.3157894736799998,1.0,1.21052631579,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,Elect Comp,1.0,1,1.8,2.0,1,1212,1.0,1.0,1.17647058824,1.0,1.4158694424002376,1.5451563526414358,1.4342487474682952,1.2753222276894705,-1.6934328676519792,0.944378862088763,10.08173374614
1.16666666667,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.55555555556,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,Cable/Conn/Wire,1.0,1,2.0,2.0,1,1212,1.0,1.0,1.17647058824,1.0,1.397415903345021,0.9643464570385979,0.9516403026496223,1.2723694603089077,-1.9013331815080257,0.9231874531040338,9.343137254910001
1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,Cable/Conn/Wire,1.0,1,2.0,2.0,1,1250,1.08333333333,1.0,1.75,2.0,1.471584982777117,0.914550264164421,0.7497086240776714,1.8328641502587244,-1.8939416528618775,0.9431271610631183,9.83333333333
1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,Unknown,1.0,1,2.0,2.0,1,1250,1.08333333333,1.0,1.75,2.0,1.471584982777117,0.914550264164421,0.7497086240776714,1.8328641502587244,-1.8939416528618775,0.9431271610631183,9.83333333333
1.33333333333,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.6666666666699999,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Fabrication,1.0,1,2.0,2.0,2,1250,1.08333333333,1.0,1.75,2.0,2.5961720049411077,1.110076015099081,1.2472279845469918,1.7805964436920625,-1.8512564240595646,0.9350464960847825,11.83333333333
