mean_unexpcost,median_unexpcost,mean_stdcost,median_stdcost,mean_pocost,median_pocost,mean_qty,median_qty,mean_costsave,median_costsave,mean_spend,median_spend,mean_return_spend,median_return_spend,mean_leadtime,median_leadtime,mean_abc,median_abc,mean_source,median_source,Category,mean_late,median_late,mean_early,median_early,%Critical,SupplierID,quality_risk_mean,quality_risk_median,delivery_risk_mean,delivery_risk_median,comp1,comp2,comp3,comp4,comp5,comp6,RiskSum
2.0,2.0,2.0,2.0,2.0,2.0,1.42857142857,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,Elect Comp,1.0,1,2.0,2.0,1,83,1.0,1.0,1.0,1.0,1.0000000000000018,2.0000000000000027,0.9999999999999964,1.0000000000000002,-2.0000000000000004,0.9999999999999978,10.0
1.0,1.0,2.0,2.0,2.0,2.0,1.8,2.0,1.6,2.0,1.2,1.0,1.1,1.0,2.0,2.0,1.0,1.0,2.0,2.0,Fabrication,1.25,1,1.75,2.0,1,83,1.0,1.0,1.0,1.0,1.0000000000000036,1.0000000000000022,1.199999999999996,1.000000000000002,-1.7499999999999998,0.9999999999999978,9.3
1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,Cable/Conn/Wire,1.0,1,2.0,2.0,2,473,1.0,1.0,1.0,1.0,2.0000000000000027,1.0000000000000036,0.9999999999999943,0.9999999999999999,-1.9999999999999998,0.999999999999998,10.0
1.12105263158,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.97894736842,2.0,1.82631578947,2.0,1.02105263158,1.0,1.01578947368,1.0,1.71052631579,2.0,1.9210526315799998,2.0,Fabrication,1.03773584906,1,1.9433962264200002,2.0,2,630,1.0,1.0,1.39130434783,1.0,2.0000000000000053,1.1210526315800042,1.8263157894699928,1.3913043478300013,-1.9433962264199995,0.9999999999999976,11.34085747594
1.6666666666699999,2.0,1.11111111111,1.0,1.11111111111,1.0,1.85185185185,2.0,1.37037037037,1.0,1.8148148148099998,2.0,1.0,1.0,1.0,1.0,1.85185185185,2.0,1.14814814815,1.0,Cable/Conn/Wire,1.0,1,2.0,2.0,1,920,1.0,1.0,1.08333333333,1.0,1.0000000000000042,1.6666666666700025,1.8148148148099954,1.0833333333300024,-1.9999999999999998,0.9999999999999973,10.56481481481
1.89473684211,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.3157894736799998,1.0,1.21052631579,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,Elect Comp,1.0,1,1.8,2.0,1,1212,1.0,1.0,1.17647058824,1.0,1.0000000000000027,1.8947368421100026,1.2105263157899957,1.1764705882400006,-1.8,0.9999999999999978,10.08173374614
1.16666666667,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.55555555556,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,Cable/Conn/Wire,1.0,1,2.0,2.0,1,1212,1.0,1.0,1.17647058824,1.0,1.000000000000003,1.1666666666700025,0.999999999999996,1.1764705882400013,-1.9999999999999998,0.9999999999999973,9.343137254910001
1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,Cable/Conn/Wire,1.0,1,2.0,2.0,1,1250,1.08333333333,1.0,1.75,2.0,1.0000000000000042,1.000000000000003,0.9999999999999948,1.7500000000000018,-1.9999999999999996,1.0833333333299968,9.83333333333
1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,Unknown,1.0,1,2.0,2.0,1,1250,1.08333333333,1.0,1.75,2.0,1.0000000000000042,1.000000000000003,0.9999999999999948,1.7500000000000018,-1.9999999999999996,1.0833333333299968,9.83333333333
1.33333333333,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.6666666666699999,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Fabrication,1.0,1,2.0,2.0,2,1250,1.08333333333,1.0,1.75,2.0,2.000000000000005,1.3333333333300044,1.666666666669992,1.7500000000000009,-1.9999999999999996,1.0833333333299973,11.83333333333
1.36363636364,1.0,1.8181818181799998,2.0,1.77272727273,2.0,1.0,1.0,1.77272727273,2.0,1.04545454545,1.0,1.04545454545,1.0,1.0,1.0,1.0,1.0,1.4090909090900001,1.0,Accessories/OEM,1.0,1,2.0,2.0,1,1250,1.08333333333,1.0,1.75,2.0,1.0000000000000038,1.363636363640003,1.0454545454499944,1.7500000000000013,-2.0,1.083333333329997,10.28787878787
2.0,2.0,2.0,2.0,2.0,2.0,1.20689655172,1.0,2.0,2.0,1.2758620689700002,1.0,1.0,1.0,1.0,1.0,1.9655172413799997,2.0,2.0,2.0,User Interfaces,1.0,1,1.8695652173900001,2.0,1,1396,1.0,1.0,1.4166666666699999,1.0,1.0000000000000033,2.000000000000003,1.275862068969995,1.4166666666700005,-1.86956521739,0.9999999999999976,10.56209395303
1.16666666667,1.0,1.0,1.0,1.16666666667,1.0,1.8333333333300001,2.0,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,Unknown,1.0,1,1.8571428571400002,2.0,1,1396,1.0,1.0,1.4166666666699999,1.0,1.0000000000000036,1.1666666666700027,0.9999999999999953,1.4166666666700012,-1.8571428571399997,0.9999999999999973,9.440476190480002
