mean_unexpcost,median_unexpcost,mean_return,median_return,mean_stdcost,median_stdcost,mean_pocost,median_pocost,mean_qty,median_qty,mean_return_qty,median_return_qty,mean_costsave,median_costsave,mean_spend,median_spend,mean_return_spend,median_return_spend,mean_leadtime,median_leadtime,mean_abc,median_abc,mean_source,median_source,num_orders_purch,num_returns_purch,Category,mean_late,median_late,mean_early,median_early,num_transactions_expo,%Late,%Early,%Critical,SupplierID,quality_risk_mean,quality_risk_median,delivery_risk_mean,delivery_risk_median,comp1,comp2,comp3,comp4,comp5,comp6
3.0,3.0,1.0,1,3.0,3.0,3.0,3.0,1.7931034482758617,2.0,1.0,1.0,4.551724137931036,5.0,1.6551724137931034,2.0,1.0,1.0,1.0,1.0,4.931034482758621,5,5.0,5.0,0,29,User Interfaces,1.0,1.0,4.478260869565218,5.0,23,1,5,1,1396,1.0,1.0,2.583333333333333,2.0,-4.354163735235872,0.17056386867003104,1.6552178304759746,6.661896660659219,-0.24807065476791168,-0.35162351417003956
2.1666666666666665,2.0,1.0,1,1.0,1.0,1.3333333333333333,1.0,4.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5.0,0,6,Unknown,1.0,1.0,4.428571428571429,5.0,7,1,5,1,1396,1.0,1.0,2.583333333333333,2.0,-3.741452315617015,2.589717100561188,3.1162258416134456,4.8361105562733036,-0.9375373105614335,-0.16729872933594403
2.4705882352941178,2.0,1.4705882352941178,1,1.0,1.0,1.0,1.0,3.6,4.0,1.3529411764705883,1.0,1.9411764705882355,1.0,1.0,1.0,1.0,1.0,1.4117647058823528,1.0,1.0,1,3.7647058823529416,5.0,2,15,Indirect,1.0,1.0,5.0,5.0,9,1,5,1,1396,1.0,1.0,2.583333333333333,2.0,-2.59675627644615,1.936565968422466,3.0801345225470858,4.825959992552111,-0.5682858053222835,-0.5555433947394617
2.4266337854500617,2.0,1.0887792848335391,1,1.620221948212084,1.0,1.6411837237977804,1.0,2.9281210592686,3.0,1.0382244143033292,1.0,2.9765721331689274,3.0,1.0176544766708702,1.0,1.0,1.0,1.3353884093711468,1.0,1.1750924784217016,1,4.700369913686807,5.0,18,793,Fabrication,1.0,1.0,4.742009132420091,5.0,438,1,5,1,1396,1.0,1.0,2.583333333333333,2.0,-3.7071461374368386,1.4082932490704967,2.5598924506839147,5.50814784370055,-0.592871186124015,-0.4873697135293477
2.833333333333333,2.5,1.0,1,1.0,1.0,1.0,1.0,4.666666666666667,5.0,1.0,1.0,2.0,2.0,1.3333333333333333,1.0,1.0,1.0,1.0,1.0,3.0,3,5.0,5.0,0,6,Accessories,1.0,1.0,5.0,5.0,6,1,5,1,1396,1.0,1.0,2.583333333333333,2.0,-3.5706325916732693,3.0719077007780693,3.2892481037054333,5.281678756992296,-0.769202062953148,-0.17611765668006774
2.0,2.0,1.0851063829787233,1,3.0,3.0,3.0,3.0,3.934782608695652,4.0,1.0638297872340423,1.0,2.6170212765957452,3.0,1.9782608695652173,2.0,1.0212765957446808,1.0,1.127659574468085,1.0,3.9787234042553186,5,5.0,5.0,1,46,OCF,1.0,1.0,5.0,5.0,23,1,5,1,1447,1.0,1.0,2.333333333333333,1.0,-3.906531999275305,2.407252389643299,3.0112078802694615,5.200965440633191,-0.291554944413827,-0.6346302347413354
2.333333333333333,2.5,1.0,1,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,3.333333333333333,3.5,1.1666666666666667,1.0,1.0,1.0,1.6666666666666667,2.0,1.0,1,5.0,5.0,0,6,Antenna,1.0,1.0,5.0,5.0,10,1,5,1,1547,1.0,1.0,2.0,1.0,-4.491146123872565,-0.12700792935478383,1.8065056536656352,5.226592927297884,0.03080066518661062,-1.0869884717837055
2.3574144486692017,2.0,1.0,1,2.182509505703422,2.0,2.2281368821292777,2.0,2.467680608365019,2.0,1.0,1.0,3.049429657794677,3.0,1.0684410646387832,1.0,1.0,1.0,1.0228136882129275,1.0,1.220532319391635,1,4.863117870722434,5.0,0,263,Accessories/OEM,1.0,1.0,4.9245283018867925,5.0,159,1,5,1,1836,1.0833333333333333,1.0,1.8333333333333333,1.0,-4.070505367496006,1.2178514973116124,1.9667961758613772,5.148361154982474,-0.09952402648910841,-0.37636969637491957
2.34,2.0,1.24,1,2.34,2.0,2.24,2.0,2.4042553191489358,2.0,1.0,1.0,2.96,3.0,1.0212765957446808,1.0,1.0,1.0,1.06,1.0,1.0,1,3.5,3.5,3,47,Indirect,1.0,1.0,4.2727272727272725,5.0,22,1,5,1,1836,1.0833333333333333,1.0,1.8333333333333333,1.0,-2.7726933235506683,0.962729932758363,1.8713948971313386,4.9695903567045265,0.03348884814079289,-0.30667591150931717
2.333333333333333,3.0,1.0,1,2.2222222222222223,2.0,2.2222222222222223,2.0,2.333333333333333,2.0,1.0,1.0,3.2222222222222223,3.0,1.0,1.0,1.0,1.0,1.6666666666666667,1.0,1.0,1,4.666666666666667,5.0,0,9,Unknown,1.0,1.0,5.0,5.0,8,1,5,1,1836,1.0833333333333333,1.0,1.8333333333333333,1.0,-3.8874298668454865,1.060117995060768,2.0406234931286567,5.385186255234611,0.07053844632414474,-0.8620130367215734
2.0,2.0,1.3529411764705883,1,3.0,3.0,3.0,3.0,3.5806451612903225,4.0,1.0,1.0,2.676470588235294,3.0,2.6451612903225805,3.0,1.0,1.0,3.4705882352941178,4.0,4.529411764705882,5,5.0,5.0,3,31,User Interfaces,1.181818181818182,1.0,4.454545454545454,5.0,22,1,5,3,2032,1.0,1.0,2.1538461538461537,1.0,-4.13635490180966,1.850386407560038,4.808927959295782,5.8694680685793195,1.5706230285796274,-1.680951597379744
1.6666666666666667,1.0,1.4444444444444444,1,3.0,3.0,3.0,3.0,3.5,4.0,1.2222222222222223,1.0,1.4444444444444444,1.0,3.0,3.0,1.1111111111111112,1.0,4.0,4.0,1.0,1,5.0,5.0,1,8,Accessories/OEM,1.0,1.0,5.0,5.0,4,1,5,1,2032,1.0,1.0,2.1538461538461537,1.0,-3.91958242009647,2.2874739838159677,4.327818200217703,4.731769708304332,0.545455330848156,-3.4105779713848436
2.333333333333333,3.0,1.0,1,3.6666666666666665,3.0,4.333333333333333,4.0,2.0,2.0,1.0,1.0,1.6666666666666667,1.0,1.6666666666666667,2.0,1.0,1.0,3.333333333333333,3.0,2.333333333333333,3,2.0,2.0,0,3,Raw PCB,1.0,1.0,5.0,5.0,2,1,5,1,2269,1.0,1.0,1.0,1.0,-1.372882482400681,0.7479084905371691,2.514558796071957,4.096425427837067,1.4190140773501416,-2.536691211318806
3.0,3.0,1.0,1,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3,2.0,2.0,0,1,OCF,1.0,1.0,5.0,5.0,1,1,5,1,2269,1.0,1.0,1.0,1.0,-1.047770205221389,2.1453106252170597,1.5504783720186224,6.3246563284001684,1.2191270596627255,-0.7205188912927941
4.0,4.0,1.0,1,1.0,1.0,1.0,1.0,4.5,4.5,1.0,1.0,4.5,4.5,1.5,1.5,1.0,1.0,2.0,2.0,5.0,5,2.0,2.0,0,2,Fabrication,1.0,1.0,5.0,5.0,2,1,5,1,2269,1.0,1.0,1.0,1.0,-0.9309964266345371,2.428446555339325,1.4607457027424964,7.272824825771496,1.4660728769590752,-0.6546813264049901
3.25,3.5,1.0,1,1.25,1.0,1.25,1.0,4.0,4.0,1.0,1.0,3.75,4.5,1.0,1.0,1.0,1.0,3.0,2.5,1.5,1,1.5,1.5,0,4,Elect Comp,1.0,1.0,5.0,5.0,4,1,5,1,2269,1.0,1.0,1.0,1.0,-0.48561502623262554,2.1100638049513663,1.8730074093223383,6.452624070458716,1.4683078401444045,-1.4788518138816555
1.2857142857142858,1.0,1.0,1,1.8571428571428568,2.0,1.8571428571428568,2.0,2.2857142857142856,2.0,1.0,1.0,1.7142857142857142,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.2857142857142856,3,4.571428571428571,5.0,0,7,Cable/Conn/Wire,1.0,1.0,5.0,5.0,6,1,5,1,2269,1.0,1.0,1.0,1.0,-3.870433236699474,1.5469394165884736,2.350461773200718,3.592715731228655,0.4868285134345205,-1.4164950153552818
1.875,1.0,1.0,1,3.875,4.0,3.875,4.0,1.0,1.0,1.0,1.0,3.125,3.5,1.125,1.0,1.0,1.0,1.125,1.0,1.0,1,3.5,3.5,0,8,Antenna,1.0,1.0,4.166666666666667,5.0,6,1,5,2,2420,1.7083333333333333,1.0,3.1666666666666665,3.0,-3.08483363626379,-0.9240382967118873,2.9176855785099383,5.044440339024966,-0.2910540412037981,-0.07178429857527645
2.0,2.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1,5.0,5.0,0,1,Accessories/OEM,1.0,1.0,5.0,5.0,1,1,5,1,2420,1.7083333333333333,1.0,3.1666666666666665,3.0,-4.258960963501177,-0.3859821431023962,3.3101835608670322,5.747434851613446,-0.5036602346798817,-2.868275300842216
5.0,5.0,1.0,1,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5.0,0,1,Accessories,1.0,1.0,5.0,5.0,1,1,5,5,2420,1.7083333333333333,1.0,3.1666666666666665,3.0,-4.52820538722091,-1.3942736027220348,4.4684968733169725,6.5852349619453445,1.2985685561626754,1.748773748479339
2.5,2.0,1.0,1,4.375,5.0,4.25,5.0,2.25,2.0,1.0,1.0,3.0,3.0,2.375,2.0,1.0,1.0,1.125,1.0,1.0,1,4.625,5.0,0,8,Indirect,1.0,1.0,5.0,5.0,3,1,5,4,2420,1.7083333333333333,1.0,3.1666666666666665,3.0,-4.1221330889756045,-0.14574362388011664,4.753081474720873,5.762828258687502,1.0833670141008098,0.5996467505584244
2.1153846153846154,2.0,1.0,1,3.7692307692307687,4.0,3.807692307692308,4.0,1.807692307692308,1.5,1.0,1.0,2.9807692307692313,3.0,1.6730769230769231,2.0,1.0,1.0,1.8461538461538465,2.0,1.0769230769230769,1,4.8269230769230775,5.0,0,52,Unknown,1.0,1.0,4.650793650793651,5.0,63,1,5,1,2420,1.7083333333333333,1.0,3.1666666666666665,3.0,-4.0693712995422295,0.1897614631522928,2.965311243021163,5.438131161451499,-0.7484125731785873,-1.2569206487282198
2.1008591707134854,2.0,1.11430706014195,1,3.4516249533059398,3.0,3.4514381770638773,3.0,1.8263795423956928,2.0,1.0089652596189764,1.0,2.7304818827045203,3.0,1.4310709478946355,1.0,1.0106462457975345,1.0,1.8035113933507656,2.0,3.0642510272693317,3,4.3954053044452746,5.0,153,5201,Fabrication,1.0087944301942102,1.0,4.7368999633565405,5.0,2729,1,5,2,2420,1.7083333333333333,1.0,3.1666666666666665,3.0,-3.7140428376570696,-0.021449028456810515,3.5873582018049346,5.267446865893341,-0.22712401693815787,-0.6824991940936865
2.0,2.0,1.1012658227848102,1,3.088607594936709,3.0,3.088607594936709,3.0,2.4025974025974026,2.0,1.0379746835443038,1.0,4.886075949367089,5.0,1.4935064935064934,1.0,1.0253164556962024,1.0,2.0,2.0,3.075949367088608,3,5.0,5.0,2,77,Cable/Conn/Wire,1.0,1.0,5.0,5.0,40,1,5,1,2467,1.0,1.0,1.3529411764705883,1.0,-4.397237656802757,1.0908408106111238,1.438635248263358,6.531263940152038,0.783906187889896,-1.181384773887857
3.355555555555556,4.0,1.1777777777777778,1,2.8,3.0,3.0444444444444443,3.0,3.4883720930232562,4.0,1.1333333333333333,1.0,4.111111111111111,5.0,2.6511627906976742,3.0,1.0666666666666669,1.0,3.7111111111111112,4.0,2.1555555555555554,1,3.0222222222222217,2.0,2,43,Elect Comp,1.0,1.0,4.870967741935483,5.0,31,1,5,1,2493,1.0,1.0,3.6666666666666665,5.0,-1.8809410150661714,0.9910360510148137,3.652173221023437,7.730568018256458,0.07094514457689494,-2.5171348604113892
2.0,2.0,1.0,1,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,5.0,5.0,2.0,2.0,1.0,1.0,4.0,4.0,1.0,1,5.0,5.0,0,1,Unknown,1.0,1.0,5.0,5.0,1,1,5,1,2493,1.0,1.0,3.6666666666666665,5.0,-3.5507834331210897,2.710516985946927,3.9634249684816485,8.404777179885071,-0.39009578470926565,-2.4515153163813466
1.6666666666666667,2.0,1.0,1,4.888888888888889,5.0,4.888888888888889,5.0,1.8888888888888888,1.0,1.0,1.0,2.2222222222222223,2.0,2.1111111111111107,2.0,1.0,1.0,2.4444444444444446,3.0,2.7777777777777777,1,3.0,2.0,0,9,Accessories/OEM,1.0,1.0,5.0,5.0,9,1,5,2,2500,1.4166666666666667,1.0,1.125,1.0,-2.6071872321428784,0.4663458877526275,2.9573595147715874,4.190677947958258,1.7166357125015033,-1.5655400456236068
2.5,2.5,1.0,1,3.0,3.0,3.0,3.0,2.5,2.5,1.0,1.0,3.0,3.0,1.1666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5.0,0,6,Cable/Conn/Wire,1.0,1.0,5.0,5.0,3,1,5,1,2608,1.0,1.0,1.0,1.0,-4.276304501232647,1.5218696617941547,1.54588367389403,4.948776579682015,0.49900704068131074,-0.41602317087794727
2.0,2.0,1.0,1,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1,5.0,5.0,0,1,Unknown,1.0,1.0,1.0,1.0,1,1,1,1,2608,1.0,1.0,1.0,1.0,-4.371833220448644,1.5061330971248932,1.5523261497021357,4.913284250609154,0.19245338901538755,-0.7947179905517762
5.0,5.0,1.0,1,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1,2.0,2.0,0,1,Fabrication,1.0,1.0,5.0,5.0,1,1,5,1,2675,1.2307692307692308,1.0,1.8461538461538465,1.0,-1.4963530441412645,-1.0397089897399638,0.6668886938402885,7.487719185580753,0.9676776505869762,-0.7699295852896649
2.0789473684210527,2.0,1.0,1,5.0,5.0,5.0,5.0,1.0526315789473684,1.0,1.0,1.0,3.0789473684210527,3.0,2.736842105263158,3.0,1.0,1.0,1.868421052631579,2.0,4.052631578947368,5,5.0,5.0,0,38,Accessories/OEM,1.0,1.0,4.9230769230769225,5.0,13,1,5,2,2675,1.2307692307692308,1.0,1.8461538461538465,1.0,-4.716317130152191,-0.2926969107443379,2.8345838565771544,5.050400040177919,1.1495969807740682,-1.315999618151724
2.007518796992481,2.0,1.0300751879699248,1,2.6842105263157894,3.0,2.680451127819549,3.0,2.75,2.0,1.0112781954887218,1.0,2.6541353383458652,3.0,2.0265151515151514,2.0,1.0037593984962403,1.0,2.6766917293233083,3.0,4.43609022556391,5,4.988721804511278,5.0,2,264,Elect Comp,1.0,1.0,4.719298245614035,5.0,57,1,5,1,2707,1.0,1.0,1.1304347826086956,1.0,-4.208059903216625,1.8014319898283768,2.5080580908282712,5.005690288495145,0.885315017874047,-2.015194416098626
2.5426356589147288,2.0,1.5116279069767442,1,4.996124031007752,5.0,4.996124031007752,5.0,1.2444444444444445,1.0,1.0116279069767442,1.0,3.9341085271317833,5.0,2.128888888888889,2.0,1.0387596899224807,1.0,2.0077519379844957,2.0,4.5271317829457365,5,4.046511627906977,5.0,33,225,Fabrication,1.0,1.0,4.454545454545454,5.0,44,1,5,2,2923,2.05,2.0,3.6,4.0,-3.550446365496784,-1.0008205641760795,3.3708454677440214,6.419907484994143,-0.06212868682912687,-0.9335227683999716
2.0,2.0,1.0,1,3.0,3.0,3.0,3.0,1.625,1.5,1.0,1.0,2.75,3.0,1.125,1.0,1.0,1.0,2.0,2.0,1.0,1,5.0,5.0,0,8,Fabrication,1.0,1.0,4.0,5.0,4,1,4,1,2972,1.2857142857142858,1.0,1.5714285714285714,1.0,-4.382383925671469,0.7347132812125656,2.0511531306817132,4.759160389187075,0.1266296964455591,-1.2395277982775985
2.0,2.0,1.0,1,4.0,4.0,4.0,4.0,1.1052631578947372,1.0,1.0,1.0,3.0,3.0,1.263157894736842,1.0,1.0,1.0,2.0,2.0,1.0,1,5.0,5.0,0,19,Cable/Conn/Wire,1.25,1.0,3.6666666666666665,5.0,12,1,4,1,2972,1.2857142857142858,1.0,1.5714285714285714,1.0,-4.521388064832571,0.2574276776463951,1.8406782391993355,4.836314238320197,0.18764290168105524,-1.2908972329169655
1.0,1.0,1.0,1,2.0,2.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1,5.0,5.0,0,1,Fabrication,1.0,1.0,5.0,5.0,1,1,5,1,3999,1.0,1.0,1.0,1.0,-3.894973529049062,3.2670851547535573,3.100802005168572,3.3561460600773696,0.23291340754881062,-1.2937266317527403
2.037735849056604,2.0,1.1401617250673854,1,3.1913746630727764,3.0,3.1913746630727764,3.0,1.9748603351955307,2.0,1.0404312668463611,1.0,3.0512129380053907,3.0,1.6620111731843576,2.0,1.0323450134770888,1.0,1.9973045822102429,2.0,4.908355795148248,5,4.932614555256063,5.0,13,358,Elect Comp,1.0,1.0,5.0,5.0,71,1,5,1,4529,1.0,1.0,3.0454545454545454,3.5,-4.139636631652534,0.4303564731204126,2.9385971621019378,5.493633305485927,-0.5640625350478732,-1.3971546637163064
2.5,2.5,1.0,1,4.5,4.5,4.5,4.5,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,2.5,2.5,1.0,1,2.0,2.0,0,2,Unknown,1.0,1.0,5.0,5.0,2,1,5,1,7242,1.0416666666666667,1.0,1.5833333333333333,1.0,-1.6601021826077922,-0.5791581729160409,1.8899536446070129,4.926525327687938,1.185609933726957,-1.9714531924569016
3.0,3.0,1.0,1,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1,2.0,2.0,0,1,Fabrication,1.0,1.0,5.0,5.0,1,1,5,1,7242,1.0416666666666667,1.0,1.5833333333333333,1.0,-1.6428170783422267,-0.6238372822625036,1.680732342744016,5.016043756638854,1.1129001356292973,-1.5262382994271821
1.97119341563786,2.0,1.0987654320987654,1,5.0,5.0,5.0,5.0,1.8945147679324892,2.0,1.0,1.0,2.045267489711934,1.0,2.9620253164556964,3.0,1.0,1.0,1.3662551440329218,1.0,2.8683127572016462,1,4.962962962962963,5.0,6,237,Accessories/OEM,1.0300751879699248,1.0,4.7819548872180455,5.0,133,1,5,1,7242,1.0416666666666667,1.0,1.5833333333333333,1.0,-4.421404296151767,0.857918890053857,2.563717046476669,4.126380520685573,0.5706002218965558,-1.4752846321404862
2.7142857142857144,3.0,1.0,1,4.785714285714286,5.0,4.785714285714286,5.0,1.2857142857142858,1.0,1.0,1.0,3.6428571428571432,3.0,1.5,1.0,1.0,1.0,1.0,1.0,2.2857142857142856,3,4.785714285714286,5.0,0,14,Cable/Conn/Wire,1.0,1.0,4.5,5.0,8,1,5,1,7242,1.0416666666666667,1.0,1.5833333333333333,1.0,-4.318541803895578,0.13694764187213648,1.3232677891780704,5.412079192475876,0.32117631190769,-0.521076696134694
1.3529411764705883,1.0,1.7058823529411764,1,3.0,3.0,2.411764705882353,2.0,2.2857142857142856,2.0,1.1176470588235294,1.0,3.8235294117647056,3.0,1.1428571428571428,1.0,1.0,1.0,2.0,2.0,1.0,1,3.2352941176470584,2.0,3,14,Fabrication,1.0,1.0,3.5,5.0,8,1,4,1,7846,1.1111111111111112,1.0,1.0,1.0,-2.7374202378915795,1.0622591035760818,1.457954018475725,5.1776085628490005,0.8687427307215625,-1.0629891222354042
1.875,2.0,1.0,1,4.0,4.0,4.0,4.0,2.25,2.0,1.0,1.0,3.5,5.0,2.5,2.5,1.0,1.0,3.0,3.0,1.0,1,2.0,2.0,0,8,Accessories/OEM,1.0,1.0,5.0,5.0,6,1,5,1,14541,1.0,1.0,1.0,1.0,-1.5553893340380534,0.6525253452286399,2.017341294957805,5.315142345026377,1.8321993954301417,-2.4011412630451745
1.6666666666666667,2.0,1.0,1,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,3.0,3.0,1.3333333333333333,1.0,1.0,1.0,2.0,2.0,1.0,1,4.0,5.0,0,3,Unknown,1.0,1.0,5.0,5.0,6,1,5,1,15342,1.0869565217391304,1.0,2.565217391304348,2.0,-3.5073467660454813,-0.4215771318450157,2.3845489764628085,4.853981824112038,-0.1680448059988222,-1.467754874746448
2.486394557823129,3.0,1.0155490767735669,1,4.115160349854228,4.0,4.138969873663752,4.0,1.1434146341463414,1.0,1.0004859086491742,1.0,3.1161321671525752,3.0,1.242926829268293,1.0,1.001943634596696,1.0,1.7118561710398446,2.0,2.759961127308066,3,2.3352769679300294,2.0,8,2050,Cable/Conn/Wire,1.0699638118214716,1.0,4.656212303980699,5.0,829,1,5,1,15342,1.0869565217391304,1.0,2.565217391304348,2.0,-1.8318019992927534,-0.6529892716207888,2.0464985407176735,5.13791624844769,0.02758667107772328,-1.014974342023822
1.1176470588235294,1.0,1.0,1,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.2352941176470589,1.0,2.411764705882353,3.0,1.0,1.0,2.0,2.0,5.0,5,5.0,5.0,0,17,Elect Comp,1.0,1.0,5.0,5.0,6,1,5,1,17035,1.0,1.0,3.0,3.0,-4.439062963232986,-0.1470172608298943,3.5969473859175194,3.4633831814365226,-0.5577493110953082,-2.0550661724634796
2.636363636363636,1.0,1.3636363636363635,1,2.272727272727273,3.0,2.272727272727273,3.0,2.1,2.0,1.0,1.0,3.1818181818181817,3.0,1.1,1.0,1.0,1.0,2.0,2.0,1.0,1,2.0,2.0,1,10,Elect Comp,1.0,1.0,4.625,5.0,32,1,5,1,24139,1.0416666666666667,1.0,2.2916666666666665,2.0,-1.3036071160111489,0.21222265706642007,2.132821090430527,5.446120877463045,0.26083513371337497,-1.041211189484561
