,index,0,1,2,p_val_kruskal,f_val_kruskal,p_val_anova,f_val_anova
0,mean_unexpcost,2.0,2.0,2.2970346715328467,1.828251434492573e-05,21.819130910351127,0.0001371488459053304,9.0334581977141
1,mean_return,1.0,1.0792778649921506,1.0,1.5938082149595293e-07,31.303938789334772,0.01785825207300661,4.053600604123773
2,mean_stdcost,2.5,3.6803405572755414,2.333333333333333,1.4183349358361834e-24,109.82511725730252,7.76838158495742e-27,66.867667980745
3,mean_pocost,2.6296620046620047,3.7620906321401364,2.5,1.1164458267401021e-22,101.0934435507141,1.2601057155919615e-24,60.65037573844903
4,mean_qty,2.0,1.8717486417616227,2.642506142506142,5.1285285152575646e-05,19.756213372129682,1.2653522809707797e-05,11.501684666437017
5,mean_return_qty,1.0,1.0,1.0,0.0007692962518668199,14.340068839291792,0.7086391167200321,0.34461525892171346
6,mean_costsave,3.0,3.0,3.0,0.06614907068043825,5.431688874380959,0.058846008701813744,2.8468336264852083
7,mean_spend,1.0751879699248121,2.072616572616573,1.2,4.543573231550413e-41,185.78455010972144,2.6424232543328917e-51,143.58341933030604
8,mean_return_spend,1.0,1.0033351491367521,1.0,1.3034827762755884e-18,82.36298386606565,6.246133536396058e-07,14.647031350264609
9,mean_leadtime,2.0,2.0,2.0,3.386903871846315e-06,25.19118873207059,0.0015266106560820208,6.558391095893768
10,mean_abc,1.0,4.006603081438004,1.2696862324583897,4.147054020784936e-59,268.8602445579919,1.3707455559975094e-109,400.03041009691066
11,mean_source,5.0,4.96994301994302,2.099372955288986,1.1551161660009748e-79,363.52004286197825,1.189282735016227e-154,698.8434426487396
12,mean_late,1.0,1.0,1.0,0.0023680334222502116,12.091390895868095,0.33270704466518525,1.1026018461553126
13,mean_early,5.0,5.0,5.0,0.40389469310384973,1.8132021912658196,0.12274149779398204,2.105346015273923
14,quality_risk_mean,1.0416666666666667,1.0434782608695652,1.0208333333333335,0.1558769328964765,3.717376949521309,0.18610124597595493,1.686391102939721
15,delivery_risk_mean,1.7071078431372548,1.7708333333333335,1.8461538461538465,0.17716163077626548,3.461385589730552,0.050962067341988763,2.992136736141991
