mean_unexpcost,median_unexpcost,mean_return,median_return,mean_stdcost,median_stdcost,mean_pocost,median_pocost,mean_qty,median_qty,mean_return_qty,median_return_qty,mean_costsave,median_costsave,mean_spend,median_spend,mean_return_spend,median_return_spend,mean_leadtime,median_leadtime,mean_abc,median_abc,mean_source,median_source,Category,mean_late,median_late,mean_early,median_early,%Critical,SupplierID,quality_risk_mean,quality_risk_median,delivery_risk_mean,delivery_risk_median
2.34,2.0,1.24,1,2.34,2.0,2.24,2.0,2.40425531915,2.0,1.0,1.0,2.96,3.0,1.02127659574,1.0,1.0,1.0,1.06,1.0,1.0,1,3.5,3.5,Indirect,1.0,1.0,4.27272727273,5.0,1,1836,1.08333333333,1.0,1.83333333333,1.0
2.33333333333,3.0,1.0,1,2.22222222222,2.0,2.22222222222,2.0,2.33333333333,2.0,1.0,1.0,3.22222222222,3.0,1.0,1.0,1.0,1.0,1.66666666667,1.0,1.0,1,4.66666666667,5.0,Unknown,1.0,1.0,5.0,5.0,1,1836,1.08333333333,1.0,1.83333333333,1.0
2.0,2.0,1.35294117647,1,3.0,3.0,3.0,3.0,3.58064516129,4.0,1.0,1.0,2.67647058824,3.0,2.64516129032,3.0,1.0,1.0,3.47058823529,4.0,4.52941176471,5,5.0,5.0,User Interfaces,1.18181818182,1.0,4.45454545455,5.0,3,2032,1.0,1.0,2.15384615385,1.0
1.66666666667,1.0,1.44444444444,1,3.0,3.0,3.0,3.0,3.5,4.0,1.22222222222,1.0,1.44444444444,1.0,3.0,3.0,1.11111111111,1.0,4.0,4.0,1.0,1,5.0,5.0,Accessories/OEM,1.0,1.0,5.0,5.0,1,2032,1.0,1.0,2.15384615385,1.0
2.33333333333,3.0,1.0,1,3.66666666667,3.0,4.33333333333,4.0,2.0,2.0,1.0,1.0,1.66666666667,1.0,1.66666666667,2.0,1.0,1.0,3.33333333333,3.0,2.33333333333,3,2.0,2.0,Raw PCB,1.0,1.0,5.0,5.0,1,2269,1.0,1.0,1.0,1.0
3.0,3.0,1.0,1,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3,2.0,2.0,OCF,1.0,1.0,5.0,5.0,1,2269,1.0,1.0,1.0,1.0
4.0,4.0,1.0,1,1.0,1.0,1.0,1.0,4.5,4.5,1.0,1.0,4.5,4.5,1.5,1.5,1.0,1.0,2.0,2.0,5.0,5,2.0,2.0,Fabrication,1.0,1.0,5.0,5.0,1,2269,1.0,1.0,1.0,1.0
3.25,3.5,1.0,1,1.25,1.0,1.25,1.0,4.0,4.0,1.0,1.0,3.75,4.5,1.0,1.0,1.0,1.0,3.0,2.5,1.5,1,1.5,1.5,Elect Comp,1.0,1.0,5.0,5.0,1,2269,1.0,1.0,1.0,1.0
1.28571428571,1.0,1.0,1,1.85714285714,2.0,1.85714285714,2.0,2.28571428571,2.0,1.0,1.0,1.71428571429,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.28571428571,3,4.57142857143,5.0,Cable/Conn/Wire,1.0,1.0,5.0,5.0,1,2269,1.0,1.0,1.0,1.0
1.875,1.0,1.0,1,3.875,4.0,3.875,4.0,1.0,1.0,1.0,1.0,3.125,3.5,1.125,1.0,1.0,1.0,1.125,1.0,1.0,1,3.5,3.5,Antenna,1.0,1.0,4.16666666667,5.0,2,2420,1.70833333333,1.0,3.16666666667,3.0
2.0,2.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1,5.0,5.0,Accessories/OEM,1.0,1.0,5.0,5.0,1,2420,1.70833333333,1.0,3.16666666667,3.0
5.0,5.0,1.0,1,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,5.0,Accessories,1.0,1.0,5.0,5.0,5,2420,1.70833333333,1.0,3.16666666667,3.0
2.5,2.0,1.0,1,4.375,5.0,4.25,5.0,2.25,2.0,1.0,1.0,3.0,3.0,2.375,2.0,1.0,1.0,1.125,1.0,1.0,1,4.625,5.0,Indirect,1.0,1.0,5.0,5.0,4,2420,1.70833333333,1.0,3.16666666667,3.0
2.11538461538,2.0,1.0,1,3.76923076923,4.0,3.80769230769,4.0,1.80769230769,1.5,1.0,1.0,2.98076923077,3.0,1.67307692308,2.0,1.0,1.0,1.84615384615,2.0,1.07692307692,1,4.82692307692,5.0,Unknown,1.0,1.0,4.65079365079,5.0,1,2420,1.70833333333,1.0,3.16666666667,3.0
2.10085917071,2.0,1.11430706014,1,3.45162495331,3.0,3.45143817706,3.0,1.8263795424,2.0,1.00896525962,1.0,2.7304818827,3.0,1.43107094789,1.0,1.0106462458,1.0,1.80351139335,2.0,3.06425102727,3,4.39540530445,5.0,Fabrication,1.00879443019,1.0,4.73689996336,5.0,2,2420,1.70833333333,1.0,3.16666666667,3.0
