,index,0,1,2,3,p_val_kruskal,f_val_kruskal,p_val_anova,f_val_anova
0,mean_unexpcost,2.0628955696202533,2.0,2.0670308352052276,2.058973425555151,0.021194854774542134,9.710441326890638,0.10221649553010308,2.076493617464349
1,mean_return,1.0,1.0762904858299596,1.0382813246826976,1.0,2.295463327170971e-10,47.846816406986825,0.08238764770962097,2.24178507780321
2,mean_stdcost,2.324561403508772,3.394251864853006,2.9517279128942535,3.0795006570302235,3.2216208415480523e-15,70.57057540005034,1.0549070780733926e-16,27.63303281721386
3,mean_pocost,2.49812734082397,3.4685072142064373,3.0,3.0815518733373928,1.2576042911351418e-14,67.80793064217232,6.651565065655021e-16,26.215615101369544
4,mean_qty,2.0,1.9874301675977653,2.4879182156133828,2.1286016914040027,0.0006022316632054455,17.33775360334317,0.0016678367983448575,5.123548615924399
5,mean_return_qty,1.0,1.0,1.0,1.0,9.3794340173024e-11,49.672820977001784,0.01089238831619224,3.7530398772787588
6,mean_costsave,3.0,2.9371482176360235,3.0355477855477853,3.0032851511169514,0.01746178578249344,10.133872428798021,0.0854174897871222,2.2141891907584945
7,mean_spend,1.0225113896912128,2.0869465823363558,1.5673110414489724,1.719945355191257,1.640639092169197e-51,238.90631610461477,2.7625096522519687e-51,98.13882560041598
8,mean_return_spend,1.0,1.0,1.0,1.0,2.264534596136641e-25,117.82893003067002,1.0237420000176335e-06,10.473236173093172
9,mean_leadtime,2.0,2.0,2.0,2.0,0.00019400505930248919,19.719935854614,2.91178672811715e-05,8.051654658913462
10,mean_abc,1.0,4.341085271317829,2.498976807639836,1.0,1.9235409344772608e-82,381.81418889626974,3.822958870312642e-187,670.8646171261835
11,mean_source,3.5321969696969697,4.982822440717177,4.300326143279518,4.992424242424242,2.302501997041081e-05,24.169501870124265,1.1283782378409676e-05,8.736563543634006
12,mean_late,1.0,1.0,1.0,1.0,0.005850807821788922,12.50068129297929,0.9058150260112947,0.18616695997644808
13,mean_early,5.0,5.0,4.861409796893668,5.0,0.011739856200858831,10.99741604657329,0.05340975678684486,2.5706952827978844
14,quality_risk_mean,1.0416666666666667,1.0,1.0416666666666667,1.0,0.8960487162311814,0.6016754246867995,0.5311421432422383,0.735469661686023
15,delivery_risk_mean,1.7178030303030303,1.7104166666666667,1.8397435897435899,1.725,0.5982100262286065,1.8775325200428692,0.6877023075454527,0.4923745303105725
