,index,0,1,2,p_val_kruskal,f_val_kruskal,p_val_anova,f_val_anova
0,mean_unexpcost,2.0,2.280654761904762,2.0,1.8800953618755657e-05,21.763205930025826,5.9691914781367025e-05,9.892708889567597
1,mean_return,1.0816326530612246,1.0,1.0,5.786586073028117e-07,28.725106315926627,0.000848817631861253,7.1593549245458705
2,mean_stdcost,3.911111111111111,2.5414436397984885,2.5,7.054979390168206e-22,97.40627676375408,3.2145937317559672e-24,59.518152294818044
3,mean_pocost,3.911111111111111,2.708333333333333,2.566666666666667,6.357506666786987e-21,93.00930137182444,5.827845086847242e-23,56.03833978264791
4,mean_qty,2.0,2.4686874463826136,2.0,0.00725992399504012,9.850771838405942,0.005620954190203288,5.228223214509236
5,mean_return_qty,1.0,1.0,1.0,0.0020390226902975207,12.390569318603795,0.752338736551223,0.2847094889425704
6,mean_costsave,3.0,3.0,3.0,0.08145353448763487,5.01544510061345,0.06709429550878165,2.714389928548469
7,mean_spend,2.16,1.2344322344322345,1.0714285714285714,3.9679265635241947e-44,199.871000819326,1.8993164941077182e-66,199.1693909741998
8,mean_return_spend,1.003257328990228,1.0,1.0,3.851722037420114e-18,80.19602268629464,5.5836284118906846e-14,32.194769398459826
9,mean_leadtime,2.0,2.0,2.0,2.8914360356631924e-07,30.112684748187263,1.1698662784271302e-05,11.583295822566065
10,mean_abc,3.933333333333333,1.3888449106141567,1.0,1.3399277304282373e-40,183.62157607953932,5.3385142093414076e-67,201.32247921929076
11,mean_source,5.0,2.109126984126984,5.0,3.449438276420184e-88,402.7785535682361,2.2491549592079696e-198,1112.4389146974756
12,mean_late,1.0,1.0,1.0,0.015144855581404484,8.380188740552137,0.2919890965637125,1.2336781603580849
13,mean_early,5.0,5.0,5.0,0.15738540347832358,3.698115365013221,0.1320539646513166,2.031689693221018
14,quality_risk_mean,1.0434782608695652,1.0,1.0416666666666667,0.1515678525387368,3.773443765508839,0.06124556754595817,2.8064732025050523
15,delivery_risk_mean,1.8333333333333333,1.8333333333333333,1.6956521739130437,0.1729461051860899,3.509550527472751,0.05981365885439237,2.830362557295717
