,index,0,1,2,3,p_val_kruskal,f_val_kruskal,p_val_anova,f_val_anova
0,mean_unexpcost,2.090909090909091,2.0,2.25,2.0,0.08515996099459243,6.61702161647045,0.15660201263139162,1.7452900532570734
1,mean_return,1.0677966101694916,1.0,1.0,1.0762904858299596,1.403269464944335e-08,39.43575556138786,0.03696222773647299,2.8472644441471866
2,mean_stdcost,3.13422131147541,2.25,2.2852400408580187,3.8480113636363633,5.838622921336837e-24,111.27323813198686,2.755066310645408e-26,45.300221463294875
3,mean_pocost,3.1143232588699084,2.2666666666666666,2.49812734082397,3.9260651629072685,1.3379648515634313e-23,109.59987317894489,1.5811939564029704e-25,43.85332341879014
4,mean_qty,2.142857142857143,2.3157894736842106,2.158350992101714,1.9874301675977653,0.19055005531774843,4.756136735022298,0.10034182925312116,2.0907307202050185
5,mean_return_qty,1.0,1.0,1.0,1.0,4.579452973872104e-06,27.520274378518618,0.24322671704687293,1.3953560713889133
6,mean_costsave,3.0,3.0,3.0,3.0,0.20460106538295034,4.587685095793933,0.04443599458889872,2.709176879580453
7,mean_spend,1.7857142857142858,1.1052631578947372,1.0488095238095239,2.175,4.84407536341182e-52,241.356263925147,1.8233798713119267e-65,133.12503884064807
8,mean_return_spend,1.0,1.0,1.0,1.0035083637432343,2.1536625414599522e-23,108.63918581179662,6.930287196556899e-08,12.429661814188423
9,mean_leadtime,2.0,2.0,2.0,2.0,3.2092463079161444e-07,33.00731764856241,5.670653852475769e-07,10.901622596617592
10,mean_abc,3.1333333333333333,1.0,1.0,4.043557168784028,1.3732996668935951e-70,327.0721654891627,8.021391391899181e-141,403.10015719554184
11,mean_source,2.279596977329975,5.0,2.110319894829097,5.0,2.206938993476199e-90,418.4718930702406,1.4986069422217338e-192,709.1066530466544
12,mean_late,1.0,1.0,1.0,1.0,0.011861959463445856,10.974976509580067,0.4443520079260763,0.8932433313042998
13,mean_early,5.0,5.0,5.0,4.938461538461539,0.27998872565693234,3.833715572365084,0.07164911728219996,2.3482013715231402
14,quality_risk_mean,1.0,1.0,1.0416666666666667,1.0416666666666667,0.24857113359054123,4.122164648732717,0.320442640034338,1.1700362554756056
15,delivery_risk_mean,1.9166666666666667,1.625,1.8333333333333333,1.8333333333333333,0.056278565046063204,7.550357798734289,0.006119012202445903,4.176104706618797
