mean_stdcost,median_stdcost,mean_pocost,median_pocost,mean_qty,median_qty,mean_return_qty,median_return_qty,mean_costsave,median_costsave,mean_spend,median_spend,mean_return_spend,median_return_spend,mean_leadtime,median_leadtime,mean_abc,median_abc,mean_source,median_source,num_orders_purch,num_returns_purch,Supplier ID,Category,mean_late,median_late,mean_early,median_early,num_transactions_expo,%Late,%Early,%Critical
1.68181818182,1.0,1.68181818182,1.0,2.86363636364,3.0,1.0,1.0,2.90909090909,3.0,1.27272727273,1.0,1.0,1.0,1.54545454545,1.0,1.90909090909,1,2.40909090909,2.0,22,0,S029,Elect Comp,1.0,1.0,5.0,5.0,13,1,5,1
2.75,3.0,2.75,3.0,1.25,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1,3.5,3.5,4,0,S029,Unknown,1.0,1.0,5.0,5.0,3,1,5,1
3.5,3.0,3.5,3.0,2.0,2.0,1.0,1.0,1.91666666667,1.0,1.33333333333,1.0,1.0,1.0,1.91666666667,2.0,1.66666666667,1,4.0,5.0,12,0,S029,Accessories/OEM,1.0,1.0,5.0,5.0,4,1,5,1
2.5,2.5,2.5,2.5,2.0,2.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1,3.5,3.5,2,0,S029,Cable/Conn/Wire,1.0,1.0,4.42857142857,4.42857142857,7,1,5,1
1.11764705882,1.0,1.11764705882,1.0,3.52941176471,4.0,1.0,1.0,2.91176470588,3.0,1.20588235294,1.0,1.0,1.0,1.32352941176,1.0,1.47058823529,1,4.64705882353,5.0,34,0,S030,Cable/Conn/Wire,1.36363636364,1.0,4.45454545455,4.45454545455,22,1,5,1
2.14285714286,2.0,2.14285714286,2.0,1.07142857143,1.0,1.0,1.0,2.92857142857,3.0,1.0,1.0,1.0,1.0,1.42857142857,1.0,1.0,1,3.5,3.5,13,1,S031,Accessories,1.0,1.0,4.2,4.2,10,1,4,1
1.46428571429,1.0,1.42857142857,1.0,1.83333333333,1.0,1.0,1.0,3.13095238095,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,3.96428571429,5.0,83,1,S031,Accessories/OEM,1.0,1.0,4.8,4.8,20,1,5,1
2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2.0,2.0,1,0,S031,Fabrication,1.0,1.0,5.0,5.0,2,1,5,1
2.02394636015,2.0,2.03352490421,2.0,1.50478927203,1.0,1.00574712644,1.0,3.02777777778,3.0,1.02490421456,1.0,1.0,1.0,1.0469348659,1.0,1.11685823755,1,2.59195402299,2.0,1036,8,S031,Indirect,1.00810372771,1.0,4.71799027553,4.71799027553,617,1,5,1
2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.8,4.0,1.0,1,4.4,5.0,5,0,S031,Unknown,1.0,1.0,5.0,5.0,6,1,5,1
2.0,2.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1,5.0,5.0,1,0,S034,Fabrication,1.0,1.0,5.0,5.0,1,1,5,1
2.76923076923,3.0,3.0,3.0,2.15384615385,2.0,1.0,1.0,4.23076923077,5.0,1.46153846154,1.0,1.0,1.0,3.38461538462,3.0,1.15384615385,1,4.07692307692,5.0,12,1,S035,OCF,1.0,1.0,5.0,5.0,8,1,5,2
