mean_unexpcost,mean_return,mean_qty,mean_costsave,mean_spend,mean_leadtime,mean_source,mean_late,mean_early,%Critical,quality_risk_mean,delivery_risk_mean
2.2547820934641712e-17,-6.180730188797625e-17,2.2960457639222467e-15,1.124164222629885e-16,8.276181960375323e-17,9.305346212280645e-16,-0.9999999999999997,-1.8979690624482337e-17,-3.382710778154774e-17,2.8449465006019636e-16,1.734723475976807e-18,2.0816681711721685e-15
-7.32428496109633e-17,-7.958155278068999e-17,1.0000000000000002,-2.8304144117606178e-15,1.3243944341818673e-17,1.696907244227647e-15,1.8786994587118205e-15,-4.07795575924956e-17,3.469446951953614e-18,-4.107825191113079e-15,4.163336342344337e-17,-1.6237011735142914e-15
5.225417523687134e-18,-8.9491225654686e-17,4.543617809059767e-15,-1.3603803129675284e-15,-9.636142662406443e-17,-2.05994061302777e-15,5.4845960581972624e-17,4.016756357070646e-17,8.326672684688674e-17,0.9999999999999997,4.163336342344337e-17,-6.279698983036042e-16
1.4140170805399932e-16,1.3896988231546445e-16,2.3365215544135632e-15,0.9999999999999996,3.9245218409801055e-17,1.8259145563947882e-15,2.4453105434682224e-16,-9.230543580178484e-17,6.938893903907228e-17,1.3634926521177704e-15,3.469446951953614e-18,3.32915119083399e-15
-2.6175836155317264e-17,-4.2149162641257965e-17,-1.8190506666168625e-15,3.2455206209669145e-15,8.102081221598177e-17,3.225802753350063e-16,-2.1645877449796493e-15,-4.3326090266327356e-17,-2.7755575615628914e-17,-1.1761425167122752e-15,-2.7755575615628914e-17,-0.9999999999999998
3.0479095501858296e-17,-1.0663151323528159e-16,1.2790240292444301e-15,1.97418750575324e-15,-1.6333151518049621e-16,-0.9999999999999996,-5.241910406644525e-16,-5.179682174929952e-18,5.551115123125783e-17,-1.6583956430338276e-15,6.245004513516506e-17,-3.191891195797325e-16
