mean_unexpcost,median_unexpcost,mean_return,median_return,mean_stdcost,median_stdcost,mean_pocost,median_pocost,mean_qty,median_qty,mean_return_qty,median_return_qty,mean_costsave,median_costsave,mean_spend,median_spend,mean_return_spend,median_return_spend,mean_leadtime,median_leadtime,mean_abc,median_abc,mean_source,median_source,num_orders_purch,num_returns_purch,Category,mean_late,median_late,mean_early,median_early,num_transactions_expo,%Late,%Early,%Critical,SupplierID,quality_risk_mean,quality_risk_median,delivery_risk_mean,delivery_risk_median
2.4266337854500617,2.0,1.088779284833539,1,1.6202219482120839,1.0,1.6411837237977804,1.0,2.9281210592686002,3.0,1.0382244143033292,1.0,2.9765721331689274,3.0,1.0176544766708702,1.0,1.0,1.0,1.3353884093711468,1.0,1.1750924784217016,1,4.7003699136868065,5.0,18,793,Fabrication,1.0,1.0,4.742009132420091,5.0,438,1,5,1,1396,1.0,1.0,2.5833333333333335,2.0
2.8333333333333335,2.5,1.0,1,1.0,1.0,1.0,1.0,4.666666666666667,5.0,1.0,1.0,2.0,2.0,1.3333333333333333,1.0,1.0,1.0,1.0,1.0,3.0,3,5.0,5.0,0,6,Accessories,1.0,1.0,5.0,5.0,6,1,5,1,1396,1.0,1.0,2.5833333333333335,2.0
2.0,2.0,1.0851063829787233,1,3.0,3.0,3.0,3.0,3.9347826086956523,4.0,1.0638297872340425,1.0,2.617021276595745,3.0,1.9782608695652173,2.0,1.0212765957446808,1.0,1.127659574468085,1.0,3.978723404255319,5,5.0,5.0,1,46,OCF,1.0,1.0,5.0,5.0,23,1,5,1,1447,1.0,1.0,2.3333333333333335,1.0
2.3333333333333335,2.5,1.0,1,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,3.3333333333333335,3.5,1.1666666666666667,1.0,1.0,1.0,1.6666666666666667,2.0,1.0,1,5.0,5.0,0,6,Antenna,1.0,1.0,5.0,5.0,10,1,5,1,1547,1.0,1.0,2.0,1.0
2.3574144486692017,2.0,1.0,1,2.182509505703422,2.0,2.2281368821292777,2.0,2.467680608365019,2.0,1.0,1.0,3.049429657794677,3.0,1.0684410646387832,1.0,1.0,1.0,1.0228136882129277,1.0,1.220532319391635,1,4.863117870722434,5.0,0,263,Accessories/OEM,1.0,1.0,4.9245283018867925,5.0,159,1,5,1,1836,1.0833333333333333,1.0,1.8333333333333333,1.0
2.34,2.0,1.24,1,2.34,2.0,2.24,2.0,2.404255319148936,2.0,1.0,1.0,2.96,3.0,1.0212765957446808,1.0,1.0,1.0,1.06,1.0,1.0,1,3.5,3.5,3,47,Indirect,1.0,1.0,4.2727272727272725,5.0,22,1,5,1,1836,1.0833333333333333,1.0,1.8333333333333333,1.0
2.3333333333333335,3.0,1.0,1,2.2222222222222223,2.0,2.2222222222222223,2.0,2.3333333333333335,2.0,1.0,1.0,3.2222222222222223,3.0,1.0,1.0,1.0,1.0,1.6666666666666667,1.0,1.0,1,4.666666666666667,5.0,0,9,Unknown,1.0,1.0,5.0,5.0,8,1,5,1,1836,1.0833333333333333,1.0,1.8333333333333333,1.0
2.0,2.0,1.3529411764705883,1,3.0,3.0,3.0,3.0,3.5806451612903225,4.0,1.0,1.0,2.676470588235294,3.0,2.6451612903225805,3.0,1.0,1.0,3.4705882352941178,4.0,4.529411764705882,5,5.0,5.0,3,31,User Interfaces,1.1818181818181819,1.0,4.454545454545454,5.0,22,1,5,3,2032,1.0,1.0,2.1538461538461537,1.0
1.6666666666666667,1.0,1.4444444444444444,1,3.0,3.0,3.0,3.0,3.5,4.0,1.2222222222222223,1.0,1.4444444444444444,1.0,3.0,3.0,1.1111111111111112,1.0,4.0,4.0,1.0,1,5.0,5.0,1,8,Accessories/OEM,1.0,1.0,5.0,5.0,4,1,5,1,2032,1.0,1.0,2.1538461538461537,1.0
2.3333333333333335,3.0,1.0,1,3.6666666666666665,3.0,4.333333333333333,4.0,2.0,2.0,1.0,1.0,1.6666666666666667,1.0,1.6666666666666667,2.0,1.0,1.0,3.3333333333333335,3.0,2.3333333333333335,3,2.0,2.0,0,3,Raw PCB,1.0,1.0,5.0,5.0,2,1,5,1,2269,1.0,1.0,1.0,1.0
