,index,0,1,2,p_val_kruskal,f_val_kruskal,p_val_anova,f_val_anova
0,mean_unexpcost,2.0,2.25,2.045645330535152,0.0009515517108058785,13.914833052176002,0.002059786100883086,6.252165211200901
1,mean_return,1.0,1.0,1.0,0.6702361788025608,0.8002502460743801,0.4682489741028817,0.7597572436044288
2,mean_stdcost,3.0,2.732230392156863,3.0135135135135136,0.0042798394119546385,10.907679581327384,0.004936993130765149,5.3603574221413925
3,mean_pocost,3.0,2.850905049221975,3.072072072072072,0.011500921181050507,8.930656288241877,0.017708711501189755,4.062128300184751
4,mean_qty,2.040909090909091,2.291005291005291,2.166058394160584,0.22517218722373242,2.9817797858051702,0.24165343119175636,1.4237644863305696
5,mean_return_qty,1.0,1.0,1.0,0.8911754052959014,0.2304280149581774,0.2314130823333597,1.4672824443634354
6,mean_costsave,3.0,3.0,3.0,0.5466048275974402,1.2080583469583313,0.8501552483786108,0.16238214108561752
7,mean_spend,1.2777777777777777,1.2405110336817655,1.8005115089514063,0.0241648850843042,7.4457094583132,0.000662956591550209,7.412752841428817
8,mean_return_spend,1.0,1.0,1.0,0.05360328176318708,5.852289971709081,0.0026517611185019507,5.994163047804795
9,mean_leadtime,2.0,2.0,2.0,0.0839122051759715,4.955968406386334,0.3339608458398561,1.0988260443134674
10,mean_abc,1.0909090909090908,1.3944115677651698,2.3655913978494625,0.2922385146014204,2.460369958623635,0.05652236004819713,2.887523104262088
11,mean_source,5.0,2.1331424481030776,5.0,5.698771822783969e-90,410.9848153750551,1.4196334705573136e-210,1256.1304003593002
12,mean_late,1.0,1.0,1.0,0.041274226243626366,6.375034071440989,0.2745018985732547,1.2957081142819062
13,mean_early,5.0,5.0,5.0,0.06870720290056487,5.355802479071142,0.11500755348168225,2.170912724340629
14,quality_risk_mean,1.0416666666666667,1.0416666666666667,1.0,0.9683811657873207,0.06425900580390448,0.3482780424508915,1.0566913074722202
15,delivery_risk_mean,1.7058823529411764,1.7916666666666667,1.8333333333333333,0.34637711932178117,2.1204543144833154,0.10976117934062905,2.2179600075870236
