,index,0,1,2,p_val_kruskal,f_val_kruskal,p_val_anova,f_val_anova
0,mean_unexpcost,2.0416188289322617,2.0,2.0548507462686567,0.17700430838873465,3.463162411050515,0.5549005127953917,0.5895701218020476
1,mean_return,1.034552368433407,1.0792778649921506,1.0,4.3035926256402226e-12,52.34314189545041,0.010669733649811667,4.576385349388758
2,mean_stdcost,3.0,3.1840494005019053,2.208407079646018,4.2578918828489336e-18,79.99551499855548,5.805147169514535e-19,45.21169272835487
3,mean_pocost,3.0,3.223146709438123,2.265686274509804,8.345089001204843e-18,78.64971690324523,1.7292018834121281e-18,43.95094020281062
4,mean_qty,2.291005291005291,2.1833333333333336,2.0634057971014492,0.2203377319873328,3.025187528727891,0.3945327633697244,0.9315590609187001
5,mean_return_qty,1.0,1.0,1.0,1.55317837389607e-12,54.38143544145954,0.0947703494195559,2.36598102372301
6,mean_costsave,3.0,3.0,3.0,0.4986165588668471,1.3918357954408456,0.6205728570679756,0.47750837249952527
7,mean_spend,1.5701970443349753,2.0823083634124226,1.0177558097640065,1.6330925291872135e-60,275.3292602103463,9.951433358904539e-62,181.1181620504112
8,mean_return_spend,1.0,1.0,1.0,1.979391457599441e-28,127.57918630202725,6.849556363682962e-08,16.978957522050184
9,mean_leadtime,2.0,2.0,2.0,1.4653206595395945e-07,31.472043104416535,4.192671966431645e-08,17.499235173482337
10,mean_abc,2.4204516732909487,4.275898520084566,1.0,6.866262959487493e-91,415.2172469387334,3.074589049690189e-227,1476.5318238595344
11,mean_source,4.253287592910235,4.850429896785376,4.066433566433567,0.23869744520446767,2.865116897300716,0.2935638163682015,1.228276544219087
12,mean_late,1.0,1.0,1.0,4.057988915977847e-05,20.22447590994114,0.9702077449665327,0.030246651296404612
13,mean_early,4.961997703788748,5.0,5.0,0.1933386832181459,3.286623585349286,0.054244744960108136,2.929069361818849
14,quality_risk_mean,1.0416666666666667,1.0,1.0416666666666667,0.2723692792993704,2.6011929779382874,0.301087119967795,1.202864944431433
15,delivery_risk_mean,1.7083333333333333,1.8297101449275361,1.7777777777777777,0.7243782679121882,0.6448831070882226,0.6147080431649574,0.4870198867124033
